// differentially methylated site (DMR) analysis results using methylMnM peckage 
chr	chrSt	chrEnd	Medip1	Medip2	MRE1	MRE2	cg	mrecg	pvalue	Ts	qvalue
chr17	18683500	18684000	0.42187269	0.250919068	0.264911736	2.823151481	13	3	1.17E-07	5.156750702	0.002435408
chr17	20755000	20755500	0.476899563	0.077205867	0.529823472	1.60532143	15	7	1.55E-07	5.036764462	0.002963568
chr17	20755500	20756000	0.513584145	0.077205867	3.602799608	7.362336214	27	11	2.30E-08	5.652355124	0.000627663
chr17	20799000	20799500	0.385188109	0.887867472	5.987005232	1.494609607	34	13	1.72E-11	-6.63465471	1.11E-06
chr17	77415000	77415500	0.697007054	1.08088214	2.172276234	0.221423646	12	2	1.41E-08	-5.582742933	0.000428918
chr17	77706500	77707000	0.183422909	0.463235203	4.397534816	1.107118228	17	6	1.98E-07	-5.164962009	0.003531051
chr17	79325000	79325500	0.770376217	0.366727869	0.317894083	1.60532143	24	6	6.06E-07	4.888455674	0.008645707
chr18	72079000	72079500	0.458557272	0.675551338	2.331223276	0.110711823	14	2	1.44E-08	-5.50093404	0.000429982
chr18	74817000	74817500	0.2017652	0.463235203	2.384205623	0.442847291	12	2	4.95E-07	-4.902044081	0.007205334
chr18	77292500	77293000	0.880429962	0.501838137	0.105964694	1.882100987	25	9	2.26E-09	5.849602264	8.12E-05
chr19	872000	872500	0.531926436	0.791360138	3.867711344	0.719626848	25	11	4.02E-08	-5.388564159	0.000998873
chr19	10403500	10404000	0.568611017	0.0579044	8.583140244	16.27463795	38	17	9.73E-10	6.274337289	3.84E-05
chr19	10404000	10404500	0.972141417	0.308823469	3.284905525	11.07118228	28	12	3.56E-15	7.873871027	5.38E-10
chr19	10404500	10405000	0.715349344	0.173713201	7.099634522	20.59239904	36	16	3.61E-13	7.269326924	3.54E-08
chr19	10405000	10405500	1.04551058	0.328124935	4.980340635	17.65853573	32	17	1.56E-17	8.617779895	3.15E-12
chr19	12984000	12984500	1.302302653	0.675551338	0.211929389	2.878507392	46	18	1.01E-13	7.259573756	1.14E-08
chr19	14376500	14377000	0.476899563	0.733455738	4.079640733	0.885694582	31	14	1.40E-07	-5.182710606	0.002759859
chr19	17599500	17600000	0.550268726	0.0579044	1.271576332	4.649896556	22	9	3.25E-12	6.92098799	2.62E-07
chr19	17600500	17601000	0.495241854	0.289522002	0.211929389	4.373116999	8	5	1.21E-10	6.293804449	6.73E-06
chr19	29858500	29859000	0.348503527	0.096507334	0.105964694	1.328541873	9	2	1.17E-07	5.060321368	0.00244312
chr19	43969500	43970000	0.605295599	0.193014668	1.165611638	3.21064286	22	11	1.08E-07	5.221111566	0.002295546
chr19	46999500	47000000	0.2017652	0.501838137	1.854382151	0.221423646	9	2	6.88E-08	-5.221693552	0.001609882
chr19	50733500	50734000	0.458557272	0.231617602	1.377541027	7.140912569	19	6	2.80E-08	5.565108224	0.000735285
chr19	50734000	50734500	0.715349344	0.386029336	1.430523374	9.18908129	37	17	1.80E-12	7.022125537	1.55E-07
chr19	54107500	54108000	0.366845818	0.694852805	1.377541027	0.110711823	10	3	4.52E-07	-4.929862735	0.006832877
chr19	54861000	54861500	1.155564326	0.270220535	0	0	11	0	6.20E-08	5.27518784	0.006864716
chr2	1600000	1600500	1.265618071	2.663602417	0.052982347	0.055355911	9	0	9.60E-08	-5.31111373	0.00970763
chr2	1817000	1817500	0.641980181	0.405330803	0.741752861	3.376710595	25	12	4.16E-07	4.976425466	0.00638349
chr2	24677000	24677500	0.311818945	0.598345471	3.708764303	0.941050494	15	3	3.82E-07	-5.000633343	0.005972651
chr2	77316000	77316500	0.62363789	0.135110268	0.158947042	1.771389164	12	5	5.15E-12	6.47510987	3.74E-07
chr2	98153000	98153500	0.036684582	0.598345471	0	0	4	0	3.44E-08	-5.255976494	0.004335409
chr2	130795000	130795500	0.403530399	0.115808801	0.794735208	3.155286949	30	18	1.36E-07	5.196521348	0.002697135
chr2	132057000	132057500	0.550268726	0.347426402	1.006664596	4.649896556	33	19	3.16E-07	5.054196518	0.00509485
chr2	210073500	210074000	0.586953308	0.96507334	2.808064401	0.276779557	27	6	4.24E-10	-6.09293061	2.00E-05
chr2	236486000	236486500	1.210591198	0.675551338	0.476841125	2.767795569	17	5	4.17E-10	6.128274813	1.99E-05
chr20	20837000	20837500	0.055026873	0.48253667	3.549817261	0.110711823	9	3	1.71E-15	-7.699698228	2.69E-10
chr20	49992500	49993000	0.641980181	0.270220535	0.105964694	2.048168721	9	4	1.15E-10	6.191896312	6.53E-06
chr20	55379500	55380000	0.697007054	0.405330803	0.529823472	2.657083747	16	3	1.53E-07	5.113869441	0.002969701
chr20	57365500	57366000	0.256792072	0.617646937	4.397534816	0.830338671	13	4	7.11E-10	-6.061326289	3.03E-05
chr20	58329000	58329500	0.385188109	0.694852805	1.854382151	0.276779557	15	3	4.94E-07	-4.903441528	0.007227421
chr20	60405000	60405500	0.275134363	0.636948404	1.430523374	0.221423646	15	7	6.54E-07	-4.83933505	0.00911943
chr20	62570000	62570500	0.733691635	0.463235203	2.702099706	8.303386708	46	23	1.95E-07	5.188275661	0.003516719
chr21	10817000	10817500	0.697007054	1.833639345	0	0	11	0	7.35E-08	-5.356256725	0.007812919
chr21	10817500	10818000	0.660322472	1.852940812	0	0	11	0	1.35E-08	-5.634690345	0.002155766
chr21	10838500	10839000	1.522410143	3.184742021	0	0	15	0	7.51E-09	-5.770987098	0.001318833
chr21	10839000	10839500	0.550268726	1.756433478	0	0	10	0	2.38E-09	-5.940605426	0.000521156
chr21	45077500	45078000	1.063852871	0.714154271	0.529823472	3.099931038	46	18	4.88E-09	5.742742687	0.00016539
chr21	47716000	47716500	0.495241854	0.328124935	0.794735208	5.148099759	20	11	7.46E-08	5.321531283	0.001721916
chr22	18859000	18859500	1.118879744	0.0579044	0	0	22	0	2.28E-14	6.969766486	1.69E-08
chr22	24088000	24088500	0.458557272	0.173713201	0.37087643	1.826745076	8	4	6.92E-07	4.814813561	0.009533632
chr22	32439000	32439500	1.118879744	0.559742537	2.331223276	6.255217987	33	16	1.04E-09	6.029891394	4.02E-05
chr22	36682500	36683000	0.605295599	0.405330803	0.264911736	2.38030419	16	8	1.69E-07	5.122504039	0.003178328
chr22	47544500	47545000	0.807060799	0.289522002	0.635788166	4.317761088	21	9	3.77E-14	7.327920093	5.06E-09
chr22	48706500	48707000	0.458557272	0.752757205	7.205599217	1.937456899	13	2	2.91E-08	-5.511926207	0.000753391
chr22	49663000	49663500	0.935456835	0.559742537	2.43718797	6.310573898	27	11	2.35E-07	5.127393946	0.004069844
chr3	10806500	10807000	0.220107491	0.501838137	4.13262308	0.996406405	13	3	1.67E-07	-5.173851892	0.003146207
chr3	32621000	32621500	0.330161236	0.154411734	0.317894083	4.705252468	16	6	1.43E-08	5.645307279	0.000430941
chr3	75429500	75430000	0.82540309	2.277573081	0	0	12	0	4.69E-10	-6.175977727	0.00011806
chr3	155027500	155028000	0.660322472	0.424632269	0.37087643	4.539184734	32	14	4.16E-11	6.437988409	2.47E-06
chr3	194830500	194831000	0.110053745	1.158088008	0.052982347	0	6	0	2.69E-13	-6.940395315	1.67E-07
chr3	194831000	194831500	0.788718508	2.277573081	0.052982347	0	8	0	1.22E-10	-6.366329511	3.63E-05
chr3	195506500	195507000	0.055026873	0.289522002	4.344552469	0.442847291	18	2	1.30E-08	-5.757880749	0.000399374
chr3	196761500	196762000	0.220107491	1.254595341	0	0	5	0	5.17E-11	-6.356155911	1.84E-05
chr4	25160500	25161000	0.330161236	0.48253667	4.715428899	0.110711823	12	3	7.81E-10	-6.037062126	3.22E-05
chr4	25161000	25161500	0.275134363	0.559742537	6.569811051	1.328541873	28	11	6.57E-09	-5.777620894	0.000212625
chr4	49513000	49513500	1.467383271	0.424632269	0	0	3	0	4.19E-08	5.386917818	0.005013258
chr4	188944500	188945000	0.256792072	0.656249871	1.165611638	0.110711823	14	4	2.86E-07	-4.992154549	0.004763462
chr5	416500	417000	1.265618071	0.868566006	0.529823472	3.432066506	23	6	2.63E-10	6.21091272	1.34E-05
chr5	1045000	1045500	0.586953308	1.698529078	0	0	7	0	3.69E-08	-5.505331802	0.004607897
chr5	2867500	2868000	0.495241854	0.733455738	2.490170318	0.38749138	14	4	4.46E-07	-4.932990094	0.006788168
chr5	131607000	131607500	0.880429962	0.386029336	3.019993789	6.587353455	39	18	6.63E-08	5.366106949	0.001559543
chr5	150226000	150226500	0.788718508	0.0579044	0.900699902	5.424879316	20	7	1.95E-20	9.040126433	5.05E-15
chr5	180512000	180512500	0.513584145	0.328124935	0.741752861	5.757014784	17	9	5.92E-09	5.761593995	0.000193173
chr6	27198000	27198500	0.055026873	0.463235203	10.06664596	5.314167493	19	7	7.90E-08	-5.486683598	0.001768501
chr6	27570000	27570500	0.440214981	0.135110268	0.688770513	2.435660101	17	5	5.20E-07	4.905649513	0.007540839
chr6	158439000	158439500	0.568611017	0.270220535	0.158947042	3.874913797	14	6	1.30E-12	6.849852261	1.21E-07
chr6	158478500	158479000	0.128396036	0.559742537	1.907364499	0.332135468	12	4	1.21E-09	-5.826283093	4.59E-05
chr6	167197500	167198000	0.036684582	0.579044004	0	0	26	0	6.63E-08	-5.154286811	0.007194116
chr7	1929000	1929500	0.311818945	0.115808801	0.476841125	5.148099759	11	4	1.85E-08	5.651513354	0.000537924
chr7	4244000	4244500	0.807060799	0.443933736	0.317894083	4.483828822	21	10	7.25E-14	7.24732336	8.48E-09
chr7	4244500	4245000	1.137222035	0.752757205	0.105964694	2.712439658	18	8	7.70E-12	6.704205308	5.27E-07
chr7	4854000	4854500	0.531926436	0.077205867	1.112629291	2.38030419	20	8	1.43E-07	5.150428219	0.002799211
chr7	18772000	18772500	0.073369164	1.930146679	0	0.166067734	17	0	7.41E-27	-9.782623679	1.65E-20
chr7	32109500	32110000	0.348503527	0.0579044	0.635788166	2.158880544	10	6	4.60E-07	4.937386696	0.006892768
chr7	39170500	39171000	0.641980181	0.386029336	1.059646944	5.037387936	16	7	1.90E-08	5.546643796	0.000536999
chr7	55072000	55072500	0.752033926	0.48253667	0.37087643	2.269592367	31	17	2.86E-07	5.023856094	0.004770463
chr7	55308500	55309000	0.348503527	0.694852805	5.298234718	0.996406405	12	2	4.76E-10	-6.13849337	2.18E-05
chr7	73157500	73158000	0.770376217	0.405330803	1.006664596	4.594540645	16	6	9.28E-10	6.01041105	3.70E-05
chr7	127911000	127911500	1.063852871	0.579044004	1.907364499	7.19626848	29	14	9.54E-12	6.724449357	6.29E-07
chr7	154675500	154676000	1.173906616	2.64430095	0	0	10	0	1.61E-08	-5.657050575	0.002446915
chr7	154997500	154998000	0.110053745	0.810661605	23.15328572	17.82460347	14	2	1.48E-09	-6.046298047	5.48E-05
chr7	154999500	155000000	0.146738327	1.100183607	0	0	1	0	4.21E-11	-6.368596527	1.56E-05
chr7	157427500	157428000	0.898772253	1.312499742	7.5234933	2.103524633	16	2	3.21E-10	-6.218838992	1.60E-05
chr7	157851000	157851500	2.934766541	1.235293875	0	0	16	0	2.57E-09	5.885471151	0.000540509
chr7	157851500	157852000	1.705833052	0.54044107	0	0	6	0	1.59E-08	5.521197628	0.002422053
chr7	157852000	157852500	1.889255961	0.636948404	0	0	16	0	1.31E-08	5.591050333	0.002109813
chr7	158709000	158709500	1.815886797	0.559742537	0.423858777	0	31	0	4.07E-09	5.788298169	0.000765592
chr8	697000	697500	0.770376217	0.366727869	0.105964694	3.874913797	25	9	1.57E-15	7.609349982	2.58E-10
chr8	1365000	1365500	0.843745381	0.405330803	0.688770513	3.819557886	32	15	4.11E-11	6.427426479	2.48E-06
chr8	3269000	3269500	1.228933489	0.250919068	0.37087643	0	26	0	3.23E-09	5.722762432	0.000638547
chr8	3569500	3570000	0.128396036	0.48253667	2.331223276	0.276779557	8	2	5.44E-10	-5.967544696	2.46E-05
chr8	4856000	4856500	0.476899563	0.810661605	1.748417457	0.166067734	13	3	1.26E-07	-5.176102543	0.002569523
chr8	11987500	11988000	1.210591198	0.289522002	0	0	16	0	3.81E-08	5.349826564	0.004710441
chr8	58192000	58192500	1.118879744	0.636948404	0.37087643	2.767795569	21	7	1.36E-10	6.282191602	7.48E-06
chr8	58192500	58193000	1.008825999	0.270220535	1.69543511	5.923082518	38	21	3.60E-15	7.716268373	5.22E-10
chr8	67454500	67455000	0.990483708	0.501838137	1.589470415	3.98562562	40	23	2.11E-07	5.115153443	0.003725422
chr8	71383500	71384000	1.320644944	0.772058672	0.158947042	2.767795569	23	9	6.75E-13	7.04734032	6.44E-08
chr8	143495000	143495500	1.338987234	0.038602934	0.105964694	0	8	0	1.05E-18	7.895233917	1.66E-12
chr8	144210000	144210500	0.385188109	0.694852805	3.072976137	0.221423646	18	8	1.66E-10	-6.17074673	8.85E-06
chr8	145750000	145750500	0.715349344	0.405330803	0.900699902	4.151693354	47	32	1.05E-08	5.62079508	0.000328915
chr9	31620500	31621000	0.036684582	0.772058672	0	0	11	0	9.12E-11	-6.097978762	2.93E-05
chr9	124988500	124989000	0.531926436	1.100183607	6.516828703	2.214236455	41	22	2.57E-10	-6.250356623	1.33E-05
chr9	124989000	124989500	0.678664763	1.351102675	7.205599217	0.719626848	33	12	4.05E-20	-8.934010373	9.79E-15
chr9	131200000	131200500	1.742517634	0.521139603	0.105964694	0	30	0	3.26E-09	5.767079158	0.0006392
chr9	140285000	140285500	0.183422909	0.617646937	1.69543511	0.498203202	19	9	4.04E-07	-4.932384133	0.006225746
chr9	140940500	140941000	0.348503527	0.521139603	3.549817261	0.553559114	15	2	6.40E-07	-4.896737369	0.009025717
chrM	5000	5500	5.667767883	8.78216739	35.49817261	388.0449388	12	4	0	16.76628409	0
chrM	7000	7500	3.099847159	1.409007076	554.9371044	498.1478466	19	2	6.07E-07	4.989030921	0.008626497
chrX	17366000	17366500	0.128396036	0.386029336	1.907364499	0.166067734	27	10	2.94E-08	-5.294885474	0.000756448
chrX	57748000	57748500	0.220107491	1.235293875	0	0.055355911	4	0	9.04E-11	-6.278971534	2.94E-05
